date_id,monitoring_date,year,month,quarter,month_name,day_of_week,week_number
DT0001,2024-10-16,2024,10,4,October,Wednesday,42
DT0002,2023-04-25,2023,4,2,April,Tuesday,17
DT0003,2023-01-26,2023,1,1,January,Thursday,4
DT0004,2023-10-09,2023,10,4,October,Monday,41
DT0005,2023-09-08,2023,9,3,September,Friday,36
DT0006,2023-08-17,2023,8,3,August,Thursday,33
DT0007,2023-05-23,2023,5,2,May,Tuesday,21
DT0008,2023-04-15,2023,4,2,April,Saturday,15
DT0009,2024-11-23,2024,11,4,November,Saturday,47
DT0010,2024-07-12,2024,7,3,July,Friday,28
DT0011,2023-03-31,2023,3,1,March,Friday,13
DT0012,2024-08-27,2024,8,3,August,Tuesday,35
DT0013,2024-03-08,2024,3,1,March,Friday,10
DT0014,2023-02-02,2023,2,1,February,Thursday,5
DT0015,2023-01-31,2023,1,1,January,Tuesday,5
DT0016,2023-04-06,2023,4,2,April,Thursday,14
DT0017,2023-08-12,2023,8,3,August,Saturday,32
DT0018,2023-08-27,2023,8,3,August,Sunday,34
DT0019,2024-06-01,2024,6,2,June,Saturday,22
DT0020,2024-09-08,2024,9,3,September,Sunday,36
DT0021,2023-01-28,2023,1,1,January,Saturday,4
DT0022,2024-07-28,2024,7,3,July,Sunday,30
DT0023,2023-07-23,2023,7,3,July,Sunday,29
DT0024,2024-10-27,2024,10,4,October,Sunday,43
DT0025,2024-12-19,2024,12,4,December,Thursday,51
DT0026,2024-03-05,2024,3,1,March,Tuesday,10
DT0027,2023-08-14,2023,8,3,August,Monday,33
DT0028,2024-04-04,2024,4,2,April,Thursday,14
DT0029,2024-08-26,2024,8,3,August,Monday,35
DT0030,2023-10-12,2023,10,4,October,Thursday,41
DT0031,2023-01-07,2023,1,1,January,Saturday,1
DT0032,2023-06-13,2023,6,2,June,Tuesday,24
DT0033,2024-12-15,2024,12,4,December,Sunday,50
DT0034,2023-12-15,2023,12,4,December,Friday,50
DT0035,2023-06-09,2023,6,2,June,Friday,23
DT0036,2023-08-09,2023,8,3,August,Wednesday,32
DT0037,2023-12-11,2023,12,4,December,Monday,50
DT0038,2023-04-05,2023,4,2,April,Wednesday,14
DT0039,2024-01-25,2024,1,1,January,Thursday,4
