location_id,location_name,soil_type
LOC001,Punjab,Alluvial
LOC002,Haryana,Clay
LOC003,Up,Clay
LOC004,Mp,Clay
LOC005,Rajasthan,Clay
LOC006,Maharashtra,Laterite
LOC007,Gujarat,Loamy
LOC008,Karnataka,Alluvial
LOC009,Ap,Red
LOC010,Bihar,Silt
LOC001,Punjab,Laterite
LOC002,Haryana,Black
LOC003,Up,Laterite
LOC004,Mp,Silt
LOC005,Rajasthan,Silt
LOC006,Maharashtra,Black
LOC007,Gujarat,Laterite
LOC008,Karnataka,Silt
LOC010,Bihar,Laterite
LOC003,Up,Alluvial
LOC004,Mp,Alluvial
LOC006,Maharashtra,Silt
LOC007,Gujarat,Clay
LOC008,Karnataka,Black
LOC009,Ap,Loamy
LOC001,Punjab,Red
LOC002,Haryana,Sandy
LOC003,Up,Sandy
LOC004,Mp,Black
LOC005,Rajasthan,Sandy
LOC006,Maharashtra,Clay
LOC007,Gujarat,Black
LOC008,Karnataka,Laterite
LOC009,Ap,Clay
LOC010,Bihar,Alluvial
LOC001,Punjab,Sandy
LOC002,Haryana,Silt
LOC004,Mp,Red
LOC005,Rajasthan,Loamy
LOC006,Maharashtra,Alluvial
LOC003,Up,Red
LOC006,Maharashtra,Red
LOC007,Gujarat,Sandy
LOC008,Karnataka,Red
LOC010,Bihar,Clay
LOC001,Punjab,Loamy
LOC005,Rajasthan,Laterite
LOC008,Karnataka,Sandy
LOC010,Bihar,Black
LOC001,Punjab,Silt
LOC004,Mp,Sandy
LOC005,Rajasthan,Black
LOC002,Haryana,Laterite
LOC006,Maharashtra,Loamy
LOC007,Gujarat,Silt
LOC008,Karnataka,Clay
LOC009,Ap,Black
LOC002,Haryana,Red
LOC003,Up,Silt
LOC006,Maharashtra,Sandy
LOC007,Gujarat,Red
LOC002,Haryana,Loamy
LOC004,Mp,Loamy
LOC005,Rajasthan,Red
LOC009,Ap,Laterite
LOC001,Punjab,Clay
LOC010,Bihar,Red
LOC001,Punjab,Black
LOC002,Haryana,Alluvial
LOC005,Rajasthan,Alluvial
LOC007,Gujarat,Alluvial
LOC003,Up,Black
LOC009,Ap,Sandy
LOC008,Karnataka,Loamy
LOC009,Ap,Alluvial
LOC010,Bihar,Sandy
LOC004,Mp,Laterite
LOC003,Up,Loamy
LOC010,Bihar,Loamy
LOC009,Ap,Silt
