farmer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,RFM_Average,Segment
F001,52,9,45.97,3,1,2,312,6,2.0,Potential Farmers
F002,60,13,54.18,2,3,3,233,8,2.67,At Risk
F003,28,7,29.81,4,1,1,411,6,2.0,Potential Farmers
F004,32,11,44.7,4,2,2,422,8,2.67,Potential Farmers
F005,169,11,66.99,1,2,4,124,7,2.33,Lost Farmers
F006,11,13,65.48,5,4,4,544,13,4.33,Champions
F007,44,8,31.11,3,1,1,311,5,1.67,Potential Farmers
F008,13,14,75.88,5,4,5,545,14,4.67,Champions
F009,77,9,43.57,2,1,2,212,5,1.67,Lost Farmers
F010,7,11,47.23,5,2,2,522,9,3.0,Potential Farmers
F011,110,9,36.88,1,1,1,111,3,1.0,Lost Farmers
F012,36,10,43.49,4,2,1,421,7,2.33,Potential Farmers
F013,77,10,55.62,2,2,3,223,7,2.33,Lost Farmers
F014,68,9,44.59,2,2,2,222,6,2.0,Lost Farmers
F015,52,14,68.66,3,4,4,344,11,3.67,Loyal Farmers
F016,10,17,72.54,5,5,5,555,15,5.0,Champions
F017,89,11,47.59,2,3,2,232,7,2.33,At Risk
F018,38,20,83.92,4,5,5,455,14,4.67,Champions
F019,6,13,47.06,5,4,2,542,11,3.67,Loyal Farmers
F020,25,13,46.03,4,4,2,442,10,3.33,Loyal Farmers
F021,35,11,56.3,4,3,3,433,10,3.33,Loyal Farmers
F022,54,11,51.56,3,3,3,333,9,3.0,Loyal Farmers
F023,27,7,36.37,4,1,1,411,6,2.0,Potential Farmers
F024,118,6,30.6,1,1,1,111,3,1.0,Lost Farmers
F025,30,12,58.54,4,3,4,434,11,3.67,Loyal Farmers
F026,46,9,41.24,3,2,1,321,6,2.0,Potential Farmers
F027,13,16,59.77,5,5,4,554,14,4.67,Champions
F028,85,14,56.07,2,4,3,243,9,3.0,At Risk
F029,98,15,76.58,1,4,5,145,10,3.33,At Risk
F030,45,18,90.78,3,5,5,355,13,4.33,Loyal Farmers
F031,9,16,85.4,5,5,5,555,15,5.0,Champions
F032,13,17,78.77,5,5,5,555,15,5.0,Champions
F033,83,6,26.62,2,1,1,211,4,1.33,Lost Farmers
F034,115,10,46.79,1,2,2,122,5,1.67,Lost Farmers
F035,45,13,58.28,3,4,3,343,10,3.33,Loyal Farmers
F036,62,15,65.08,2,5,4,254,11,3.67,At Risk
F037,112,13,71.45,1,4,4,144,9,3.0,At Risk
F038,134,11,49.29,1,3,3,133,7,2.33,At Risk
F039,1,15,73.3,5,5,5,555,15,5.0,Champions
F040,18,9,46.59,4,2,2,422,8,2.67,Potential Farmers
F041,166,11,69.1,1,3,4,134,8,2.67,At Risk
F042,39,10,50.24,3,2,3,323,8,2.67,Potential Farmers
F043,73,12,68.8,2,3,4,234,9,3.0,At Risk
F044,56,7,31.81,3,1,1,311,5,1.67,Potential Farmers
F045,173,20,85.44,1,5,5,155,11,3.67,At Risk
F046,56,12,56.93,3,3,3,333,9,3.0,Loyal Farmers
F047,122,7,34.29,1,1,1,111,3,1.0,Lost Farmers
F048,18,12,52.11,4,3,3,433,10,3.33,Loyal Farmers
F049,17,21,106.23,5,5,5,555,15,5.0,Champions
F050,81,13,63.55,2,4,4,244,10,3.33,At Risk
